year,state,candidate,party_simplified,candidatevotes,totalvotes,vote_pct,margin
2008,ALABAMA,"MCCAIN, JOHN",REPUBLICAN,1266546,2099819,60.31691302917061,
2008,ALABAMA,"OBAMA, BARACK H.",DEMOCRAT,813479,2099819,38.74043429457492,21.57647873459569
2008,ALASKA,"MCCAIN, JOHN",REPUBLICAN,193841,326197,59.42451953880631,
2008,ALASKA,"OBAMA, BARACK H.",DEMOCRAT,123594,326197,37.88937359938932,21.535145939416985
2008,ARIZONA,"MCCAIN, JOHN",REPUBLICAN,1230111,2293475,53.63524782262724,
2008,ARIZONA,"OBAMA, BARACK H.",DEMOCRAT,1034707,2293475,45.11525087476428,8.519996947862964
2008,ARKANSAS,"MCCAIN, JOHN",REPUBLICAN,638017,1086617,58.71590449992959,
2008,ARKANSAS,"OBAMA, BARACK H.",DEMOCRAT,422310,1086617,38.86465976512423,19.851244734805363
2008,CALIFORNIA,"MCCAIN, JOHN",REPUBLICAN,5011781,13561900,36.95485883246448,
2008,CALIFORNIA,"OBAMA, BARACK H.",DEMOCRAT,8274473,13561900,61.01263834713425,24.05777951466977
2008,COLORADO,"MCCAIN, JOHN",REPUBLICAN,1073589,2401361,44.70752210933716,
2008,COLORADO,"OBAMA, BARACK H.",DEMOCRAT,1288576,2401361,53.66023684069159,8.952714731354426
2008,CONNECTICUT,"MCCAIN, JOHN",REPUBLICAN,629428,1646792,38.22146330562694,
2008,CONNECTICUT,"OBAMA, BARACK H.",DEMOCRAT,997772,1646792,60.58882967612181,22.36736637049487
2008,DELAWARE,"MCCAIN, JOHN",REPUBLICAN,152374,412412,36.94703354897529,
2008,DELAWARE,"OBAMA, BARACK H.",DEMOCRAT,255459,412412,61.942668981503935,24.995635432528644
2008,DISTRICT OF COLUMBIA,"MCCAIN, JOHN",REPUBLICAN,17367,265853,6.5325574659680345,
2008,DISTRICT OF COLUMBIA,"OBAMA, BARACK H.",DEMOCRAT,245800,265853,92.45710975614342,85.92455229017538
2008,FLORIDA,"MCCAIN, JOHN",REPUBLICAN,4045624,8390744,48.21531916597623,
2008,FLORIDA,"OBAMA, BARACK H.",DEMOCRAT,4282074,8390744,51.03330527066491,2.8179861046886856
2008,GEORGIA,"MCCAIN, JOHN",REPUBLICAN,2048759,3924486,52.20451799292952,
